EPOQUE,GAMMA,AVAILABLE_ACTIONS,N0,REWARD_IF_CROSS,REWARD_IF_COLLISION,REWARD_IF_STILL,TOTAL_EPOQUE,EPSILON,ALPHA,TOTAL_REWARDS,MEAN_SCORE,MEAN_SCORE_[-10],SCORE
909,0.99,2,5.0,100,-10,0,1001,0.08,0.03,2460.00,21.45,25.50,26
910,0.99,2,5.0,100,-10,0,1001,0.62,0.50,2400.00,21.45,25.50,26
911,0.99,2,5.0,100,-10,0,1001,0.15,0.03,2420.00,21.46,25.60,26
912,0.99,2,5.0,100,-10,0,1001,0.36,0.09,2000.00,21.46,25.30,23
913,0.99,2,5.0,100,-10,0,1001,0.05,0.03,2560.00,21.47,25.50,27
914,0.99,2,5.0,100,-10,0,1001,0.08,0.03,2200.00,21.47,25.50,25
915,0.99,2,5.0,100,-10,0,1001,0.45,0.50,2620.00,21.48,25.60,27
916,0.99,2,5.0,100,-10,0,1001,0.33,0.25,2280.00,21.48,25.60,25
917,0.99,2,5.0,100,-10,0,1001,0.38,0.11,2150.00,21.48,25.50,24
918,0.99,2,5.0,100,-10,0,1001,0.15,0.05,2460.00,21.49,25.50,26
919,0.99,2,5.0,100,-10,0,1001,0.08,0.04,2000.00,21.49,25.20,23
920,0.99,2,5.0,100,-10,0,1001,0.45,1.00,2040.00,21.49,24.90,23
921,0.99,2,5.0,100,-10,0,1001,0.20,0.25,2450.00,21.50,24.90,26
922,0.99,2,5.0,100,-10,0,1001,0.56,0.20,2310.00,21.50,25.10,25
923,0.99,2,5.0,100,-10,0,1001,0.14,0.17,2630.00,21.51,25.10,27
924,0.99,2,5.0,100,-10,0,1001,0.05,0.10,2250.00,21.51,25.00,24
925,0.99,2,5.0,100,-10,0,1001,0.38,0.50,2440.00,21.51,24.90,26
926,0.99,2,5.0,100,-10,0,1001,0.05,0.03,2700.00,21.52,25.20,28
927,0.99,2,5.0,100,-10,0,1001,0.14,0.03,2330.00,21.52,25.30,25
928,0.99,2,5.0,100,-10,0,1001,0.10,0.01,2760.00,21.53,25.50,28
929,0.99,2,5.0,100,-10,0,1001,0.36,0.25,2280.00,21.53,25.70,25
930,0.99,2,5.0,100,-10,0,1001,0.56,0.33,2430.00,21.54,26.00,26
