Epsilon;Alpha;Gamma;Epochs_learn;Penalties_learn;Epochs_eval;Penalties_eval;Worked
0.6;0.30000000000000004;0.6;3810070;694582;1301;0;True
0.6;0.30000000000000004;0.7000000000000001;3796329;691375;1352;0;True
0.6;0.30000000000000004;0.8;3811443;695188;1335;0;True
0.6;0.30000000000000004;0.9;3791500;690751;1345;0;True
0.6;0.4;0.1;3854564;703294;1287;0;True
0.6;0.4;0.2;3828703;698859;1303;0;True
0.6;0.4;0.30000000000000004;3812926;695454;1286;0;True
0.6;0.4;0.4;3807206;693115;1307;0;True
0.6;0.4;0.5;3781042;689156;1324;0;True
0.6;0.4;0.6;3788934;689519;1268;0;True
0.6;0.4;0.7000000000000001;3788105;690514;1307;0;True
0.6;0.4;0.8;3795133;691804;1349;0;True
0.6;0.4;0.9;3795071;692599;1333;0;True
0.6;0.5;0.1;3811134;695204;1305;0;True
0.6;0.5;0.2;3801515;692989;1327;0;True
0.6;0.5;0.30000000000000004;3796784;691622;1283;0;True
0.6;0.5;0.4;3788812;690826;1308;0;True
0.6;0.5;0.5;3785980;690808;1264;0;True
0.6;0.5;0.6;3789497;690719;1306;0;True
0.6;0.5;0.7000000000000001;3786689;691925;1283;0;True
0.6;0.5;0.8;3790969;692853;1269;0;True
0.6;0.5;0.9;3780353;688795;1286;0;True
0.6;0.6;0.1;3826326;698262;1244;0;True
0.6;0.6;0.2;3809032;694859;1347;0;True
0.6;0.6;0.30000000000000004;3793191;691758;1276;0;True
0.6;0.6;0.4;3791928;691440;1295;0;True
0.6;0.6;0.5;3789422;691084;1302;0;True
0.6;0.6;0.6;3781281;688985;1266;0;True
0.6;0.6;0.7000000000000001;3774468;687947;1305;0;True
0.6;0.6;0.8;3781468;689457;1330;0;True
0.6;0.6;0.9;3774365;686910;1297;0;True
0.6;0.7000000000000001;0.1;3797099;693253;1319;0;True
0.6;0.7000000000000001;0.2;3785429;690727;1285;0;True
0.6;0.7000000000000001;0.30000000000000004;3788404;691214;1306;0;True
0.6;0.7000000000000001;0.4;3785196;690543;1356;0;True
0.6;0.7000000000000001;0.5;3780032;688638;1311;0;True
0.6;0.7000000000000001;0.6;3777105;688335;1316;0;True
0.6;0.7000000000000001;0.7000000000000001;3774237;688158;1270;0;True
0.6;0.7000000000000001;0.8;3776042;689360;1307;0;True
0.6;0.7000000000000001;0.9;3778646;688786;1248;0;True
0.6;0.8;0.1;3795197;691485;1345;0;True
0.6;0.8;0.2;3788242;689277;1312;0;True
0.6;0.8;0.30000000000000004;3784140;690468;1286;0;True
0.6;0.8;0.4;3773395;687043;1267;0;True
0.6;0.8;0.5;3776256;688900;1268;0;True
0.6;0.8;0.6;3777662;687681;1345;0;True
0.6;0.8;0.7000000000000001;3776860;688568;1301;0;True
0.6;0.8;0.8;3780997;689172;1339;0;True
0.6;0.8;0.9;3785966;691816;1269;0;True
0.6;0.9;0.1;3777983;689431;1336;0;True
0.6;0.9;0.2;3775241;689634;1307;0;True
0.6;0.9;0.30000000000000004;3772739;688143;1263;0;True
0.6;0.9;0.4;3775577;687732;1323;0;True
0.6;0.9;0.5;3777559;689247;1298;0;True
0.6;0.9;0.6;3775186;688466;1309;0;True
0.6;0.9;0.7000000000000001;3776682;688148;1348;0;True
0.6;0.9;0.8;3777517;687649;1316;0;True
0.6;0.9;0.9;3780146;689864;1302;0;True
